cause,count,date
Children,207,11-2005
Children,115,12-2005
Children,217,01-2006
Children,182,02-2006
Children,619,03-2006
Children,606,04-2006
Children,265,05-2006
Children,291,06-2006
Children,403,07-2006
Children,178,08-2006
Children,110,09-2006
Children,110,10-2006
Children,91,11-2006
Children,114,12-2006
Children,108,01-2007
Children,185,02-2007
Children,366,03-2007
Children,374,04-2007
Children,369,05-2007
Children,225,06-2007
Children,279,07-2007
Children,172,08-2007
Children,132,09-2007
Children,142,10-2007
Children,116,11-2007
Children,112,12-2007
Children,113,01-2008
Children,113,02-2008
Children,256,03-2008
Children,396,04-2008
Children,284,05-2008
Children,218,06-2008
Children,253,07-2008
Children,184,08-2008
Children,102,09-2008
Children,120,10-2008
Children,109,11-2008
Children,67,12-2008
Children,150,01-2009
Children,235,02-2009
Children,247,03-2009
Children,375,04-2009
Children,190,05-2009
Children,141,06-2009
Children,226,07-2009
Children,101,08-2009
Children,92,09-2009
Children,52,10-2009
Children,59,11-2009
Children,22,12-2009
Children,41,01-2010
Children,58,02-2010
Children,287,03-2010
Children,444,04-2010
Children,137,05-2010
Children,119,06-2010
Children,192,07-2010
Children,118,08-2010
Children,159,09-2010
Children,150,10-2010
Children,107,11-2010
Children,91,12-2010
Children,107,01-2011
Children,171,02-2011
Children,176,03-2011
Children,199,04-2011
Children,206,05-2011
Children,207,06-2011
Children,226,07-2011
Children,201,08-2011
Children,141,09-2011
Children,119,10-2011
Children,80,11-2011
Children,61,12-2011
Children,143,01-2012
Children,142,02-2012
Children,311,03-2012
Children,423,04-2012
Children,168,05-2012
Children,159,06-2012
Children,221,07-2012
Children,131,08-2012
Children,147,09-2012
Children,90,10-2012
Children,135,11-2012
Children,49,12-2012
Children,75,01-2013
Children,71,02-2013
Children,240,03-2013
Children,251,04-2013
Children,246,05-2013
Children,70,06-2013
Children,118,07-2013
Children,81,08-2013
Children,63,09-2013
Children,50,10-2013
Children,100,11-2013
Children,35,12-2013
Children,112,01-2014
Children,68,02-2014
Children,189,03-2014
Children,349,04-2014
Children,174,05-2014
Children,86,06-2014
Children,97,07-2014
Children,84,08-2014
Children,52,09-2014
Children,78,10-2014
Children,92,11-2014
Children,39,12-2014
Children,70,01-2015
Children,88,02-2015
Children,228,03-2015
Children,284,04-2015
Children,168,05-2015
Children,69,06-2015
Children,106,07-2015
Children,85,08-2015
Children,99,09-2015
Children,96,10-2015
Children,38,11-2015
Children,19,12-2015
Debris Burning,893,01-1992
Debris Burning,2147,02-1992
Debris Burning,2642,03-1992
Debris Burning,2283,04-1992
Debris Burning,1830,05-1992
Debris Burning,625,06-1992
Debris Burning,466,07-1992
Debris Burning,366,08-1992
Debris Burning,341,09-1992
Debris Burning,726,10-1992
Debris Burning,232,11-1992
Debris Burning,178,12-1992
Debris Burning,379,01-1993
Debris Burning,1173,02-1993
Debris Burning,1273,03-1993
Debris Burning,2145,04-1993
Debris Burning,1160,05-1993
Debris Burning,1225,06-1993
Debris Burning,1001,07-1993
Debris Burning,827,08-1993
Debris Burning,1014,09-1993
Debris Burning,997,10-1993
Debris Burning,749,11-1993
Debris Burning,410,12-1993
Debris Burning,889,01-1994
Debris Burning,2018,02-1994
Debris Burning,4068,03-1994
Debris Burning,3029,04-1994
Debris Burning,1401,05-1994
Debris Burning,631,06-1994
Debris Burning,458,07-1994
Debris Burning,366,08-1994
Debris Burning,501,09-1994
Debris Burning,430,10-1994
Debris Burning,709,11-1994
Debris Burning,345,12-1994
Debris Burning,389,01-1995
Debris Burning,1857,02-1995
Debris Burning,3701,03-1995
Debris Burning,3056,04-1995
Debris Burning,1395,05-1995
Debris Burning,686,06-1995
Debris Burning,925,07-1995
Debris Burning,899,08-1995
Debris Burning,1151,09-1995
Debris Burning,1000,10-1995
Debris Burning,724,11-1995
Debris Burning,936,12-1995
Debris Burning,956,01-1996
Debris Burning,3421,02-1996
Debris Burning,3208,03-1996
Debris Burning,3484,04-1996
Debris Burning,1703,05-1996
Debris Burning,703,06-1996
Debris Burning,804,07-1996
Debris Burning,506,08-1996
Debris Burning,468,09-1996
Debris Burning,668,10-1996
Debris Burning,476,11-1996
Debris Burning,430,12-1996
Debris Burning,673,01-1997
Debris Burning,1092,02-1997
Debris Burning,2606,03-1997
Debris Burning,3645,04-1997
Debris Burning,1693,05-1997
Debris Burning,573,06-1997
Debris Burning,581,07-1997
Debris Burning,744,08-1997
Debris Burning,1348,09-1997
Debris Burning,977,10-1997
Debris Burning,387,11-1997
Debris Burning,431,12-1997
Debris Burning,406,01-1998
Debris Burning,909,02-1998
Debris Burning,2343,03-1998
Debris Burning,2351,04-1998
Debris Burning,960,05-1998
Debris Burning,1177,06-1998
Debris Burning,892,07-1998
Debris Burning,954,08-1998
Debris Burning,1176,09-1998
Debris Burning,1534,10-1998
Debris Burning,1303,11-1998
Debris Burning,1106,12-1998
Debris Burning,1246,01-1999
Debris Burning,2324,02-1999
Debris Burning,4475,03-1999
Debris Burning,3358,04-1999
Debris Burning,1310,05-1999
Debris Burning,879,06-1999
Debris Burning,524,07-1999
Debris Burning,1408,08-1999
Debris Burning,2045,09-1999
Debris Burning,1432,10-1999
Debris Burning,1944,11-1999
Debris Burning,1398,12-1999
Debris Burning,1389,01-2000
Debris Burning,3614,02-2000
Debris Burning,4139,03-2000
Debris Burning,2408,04-2000
Debris Burning,1945,05-2000
Debris Burning,1196,06-2000
Debris Burning,1352,07-2000
Debris Burning,1227,08-2000
Debris Burning,850,09-2000
Debris Burning,2027,10-2000
Debris Burning,753,11-2000
Debris Burning,890,12-2000
Debris Burning,2435,01-2001
Debris Burning,2904,02-2001
Debris Burning,2607,03-2001
Debris Burning,3296,04-2001
Debris Burning,2134,05-2001
Debris Burning,516,06-2001
Debris Burning,569,07-2001
Debris Burning,679,08-2001
Debris Burning,508,09-2001
Debris Burning,1862,10-2001
Debris Burning,2774,11-2001
Debris Burning,1093,12-2001
Debris Burning,1498,01-2002
Debris Burning,4306,02-2002
Debris Burning,3884,03-2002
Debris Burning,2822,04-2002
Debris Burning,1848,05-2002
Debris Burning,1072,06-2002
Debris Burning,713,07-2002
Debris Burning,986,08-2002
Debris Burning,802,09-2002
Debris Burning,310,10-2002
Debris Burning,531,11-2002
Debris Burning,497,12-2002
Debris Burning,1311,01-2003
Debris Burning,957,02-2003
Debris Burning,1735,03-2003
Debris Burning,2824,04-2003
Debris Burning,970,05-2003
Debris Burning,499,06-2003
Debris Burning,398,07-2003
Debris Burning,456,08-2003
Debris Burning,481,09-2003
Debris Burning,1086,10-2003
Debris Burning,873,11-2003
Debris Burning,956,12-2003
Debris Burning,1682,01-2004
Debris Burning,1568,02-2004
Debris Burning,5289,03-2004
Debris Burning,3812,04-2004
Debris Burning,1162,05-2004
Debris Burning,582,06-2004
Debris Burning,484,07-2004
Debris Burning,446,08-2004
Debris Burning,585,09-2004
Debris Burning,368,10-2004
Debris Burning,348,11-2004
Debris Burning,585,12-2004
Debris Burning,1382,01-2005
Debris Burning,1677,02-2005
Debris Burning,2758,03-2005
Debris Burning,3425,04-2005
Debris Burning,1130,05-2005
Debris Burning,642,06-2005
Debris Burning,636,07-2005
Debris Burning,670,08-2005
Debris Burning,1350,09-2005
Debris Burning,1456,10-2005
Debris Burning,1892,11-2005
Debris Burning,1685,12-2005
Debris Burning,2719,01-2006
Debris Burning,2669,02-2006
Debris Burning,6733,03-2006
Debris Burning,4556,04-2006
Debris Burning,1787,05-2006
Debris Burning,1724,06-2006
Debris Burning,1269,07-2006
Debris Burning,866,08-2006
Debris Burning,833,09-2006
Debris Burning,1030,10-2006
Debris Burning,784,11-2006
Debris Burning,981,12-2006
Debris Burning,634,01-2007
Debris Burning,2475,02-2007
Debris Burning,4860,03-2007
Debris Burning,2397,04-2007
Debris Burning,1513,05-2007
Debris Burning,930,06-2007
Debris Burning,682,07-2007
Debris Burning,948,08-2007
Debris Burning,924,09-2007
Debris Burning,1159,10-2007
Debris Burning,1052,11-2007
Debris Burning,1129,12-2007
Debris Burning,1718,01-2008
Debris Burning,2039,02-2008
Debris Burning,2971,03-2008
Debris Burning,2995,04-2008
Debris Burning,1475,05-2008
Debris Burning,1304,06-2008
Debris Burning,1232,07-2008
Debris Burning,892,08-2008
Debris Burning,818,09-2008
Debris Burning,1259,10-2008
Debris Burning,1257,11-2008
Debris Burning,865,12-2008
Debris Burning,2119,01-2009
Debris Burning,3530,02-2009
Debris Burning,4341,03-2009
Debris Burning,2962,04-2009
Debris Burning,1079,05-2009
Debris Burning,874,06-2009
Debris Burning,969,07-2009
Debris Burning,593,08-2009
Debris Burning,551,09-2009
Debris Burning,362,10-2009
Debris Burning,797,11-2009
Debris Burning,226,12-2009
Debris Burning,803,01-2010
Debris Burning,933,02-2010
Debris Burning,3466,03-2010
Debris Burning,3395,04-2010
Debris Burning,1061,05-2010
Debris Burning,746,06-2010
Debris Burning,824,07-2010
Debris Burning,1127,08-2010
Debris Burning,1936,09-2010
Debris Burning,2548,10-2010
Debris Burning,1480,11-2010
Debris Burning,1515,12-2010
Debris Burning,1936,01-2011
Debris Burning,3704,02-2011
Debris Burning,3120,03-2011
Debris Burning,1974,04-2011
Debris Burning,1463,05-2011
Debris Burning,1465,06-2011
Debris Burning,967,07-2011
Debris Burning,1122,08-2011
Debris Burning,1051,09-2011
Debris Burning,1034,10-2011
Debris Burning,1007,11-2011
Debris Burning,681,12-2011
